name,ic,icir,expr,cat,src
a191_070,-0.0593,-0.3691,"Std(amount, 6)",alpha191,alpha191_factor_spec_v1.yaml
a191_046,0.0544,0.2561,"(Mean(close, 3) + Mean(close, 6) + Mean(close, 12) + Mean(close, 24)) / (4 * close + 1e-8)",alpha191,alpha191_factor_spec_v1.yaml
a191_018,-0.0541,-0.266,"close / (Ref(close, 5) + 1e-8)",alpha191,alpha191_factor_spec_v1.yaml
a191_014,-0.0523,-0.2952,"close - Ref(close, 5)",alpha191,alpha191_factor_spec_v1.yaml
a191_020,-0.0521,-0.2557,"(close - Ref(close, 6)) / (Ref(close, 6) + 1e-8) * 100",alpha191,alpha191_factor_spec_v1.yaml
a191_031,-0.0509,-0.2401,"(close - Mean(close, 12)) / (Mean(close, 12) + 1e-8) * 100",alpha191,alpha191_factor_spec_v1.yaml
a191_034,0.0509,0.2401,"Mean(close, 12) / (close + 1e-8)",alpha191,alpha191_factor_spec_v1.yaml
a191_029,-0.0508,-0.2804,"(close - Ref(close, 6)) / (Ref(close, 6) + 1e-8) * volume",alpha191,alpha191_factor_spec_v1.yaml
a191_071,-0.0506,-0.2373,"(close - Mean(close, 24)) / (Mean(close, 24) + 1e-8) * 100",alpha191,alpha191_factor_spec_v1.yaml
a191_168,0.0477,0.2792,"(-1 * volume / (Mean(volume, 20) + 1e-8))",alpha191,alpha191_factor_spec_v1.yaml
a191_159,-0.0464,-0.2034,"((close - Sum(Less(low, Ref(close, 1)), 6)) / (Sum(Greater(high, Ref(close, 1)) - Less(low, Ref(close, 1)), 6) + 1e-8) * 12 * 24 + (close - Sum(Less(low, Ref(close, 1)), 12)) / (Sum(Greater(high, Ref(close, 1)) - Less(low, Ref(close, 1)), 12) + 1e-8) * 6 * 24 + (close - Sum(Less(low, Ref(close, 1)), 24)) / (Sum(Greater(high, Ref(close, 1)) - Less(low, Ref(close, 1)), 24) + 1e-8) * 6 * 24) * 100 / (6 * 12 + 6 * 24 + 12 * 24)",alpha191,alpha191_factor_spec_v1.yaml
a191_095,-0.0463,-0.2897,"Std(amount, 20)",alpha191,alpha191_factor_spec_v1.yaml
a191_080,-0.045,-0.2824,"(volume - Ref(volume, 5)) / (Ref(volume, 5) + 1e-8) * 100",alpha191,alpha191_factor_spec_v1.yaml
a191_163,0.0445,0.2542,"Rank((-1 * returns) * Mean(volume, 20) * vwap * (high - close))",alpha191,alpha191_factor_spec_v1.yaml
a191_011,-0.0443,-0.2648,"Sum(((close - low) - (high - close)) / (high - low + 1e-8) * volume, 6)",alpha191,alpha191_factor_spec_v1.yaml
a191_065,0.0438,0.2174,"Mean(close, 6) / (close + 1e-8)",alpha191,alpha191_factor_spec_v1.yaml
a191_066,-0.0438,-0.2174,"(close - Mean(close, 6)) / (Mean(close, 6) + 1e-8) * 100",alpha191,alpha191_factor_spec_v1.yaml
a191_088,-0.0432,-0.2142,"(close - Ref(close, 20)) / (Ref(close, 20) + 1e-8) * 100",alpha191,alpha191_factor_spec_v1.yaml
a191_008,0.0427,0.2331,"Rank(Delta((high + low) / 2 * 0.2 + vwap * 0.8, 4) * -1)",alpha191,alpha191_factor_spec_v1.yaml
a191_061,0.0423,0.2507,"(Greater(Rank(WMA(Delta(vwap, 1), 12)), Rank(WMA(Rank(Corr(low, Mean(volume, 80), 8)), 17))) * -1)",alpha191,alpha191_factor_spec_v1.yaml
